[1210/181142.556:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[1210/200702.908:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200707.922:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200712.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200717.951:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200722.971:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200727.989:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200733.015:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200738.021:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200743.033:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200748.052:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200753.067:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200758.085:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200803.098:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200808.114:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200813.120:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200818.131:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200823.145:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200828.161:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200833.180:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[1210/200838.194:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
